"names","budgets","years","currencies"
"Pound Puppies and the Legend of Big Paw",NA,"1988",NA
"Powaqqatsi",2500000,"1988","USD"
"The Presidio",NA,"1988",NA
"Primo Baby",2500000,"1990","CAD"
"The Prince of Pennsylvania",NA,"1988",NA
"Prison",1300000,"1987","USD"
"Ti presento un'amica",NA,"1988",NA
"Promised Land",NA,"1987",NA
"Psycho Cop",NA,"1989",NA
"Pulse",6e+06,"1988","USD"
"Pumpkinhead",3500000,"1988","USD"
"Punchline",1.5e+07,"1988","USD"
"Quella villa in fondo al parco",NA,"1988",NA
"Quelques jours avec moi",NA,"1988",NA
"Quiet Thunder",NA,"1988",NA
"Il ragazzo dal kimono d'oro 2",NA,"1988",NA
"The Raggedy Rawney",NA,"1988",NA
"Minaccia d'amore",NA,"1988",NA
"Rain Man",2.5e+07,"1988","USD"
"Rambo III",6.3e+07,"1988","USD"
"Rampage",7500000,"1987","USD"
"Red Heat",2.9e+07,"1988","USD"
"Red Nights",NA,"1988",NA
"Renegade",NA,"1987",NA
"Rent-a-Cop",NA,"1987",NA
"Rented Lips",NA,"1988",NA
"Resan",NA,"1987",NA
"The Rescue",NA,"1988",NA
"Retribution",1200000,"1987","USD"
"Return from the River Kwai",NA,"1989",NA
"Return of the Killer Tomatoes!",NA,"1988",NA
"Return of the Living Dead: Part II",6200000,"1988","USD"
"The Man from Snowy River II",NA,"1988",NA
"Rikky and Pete",NA,"1988",NA
"Rocket Gibraltar",NA,"1988",NA
"Rokovaya oshibka",NA,"1988",NA
"Running on Empty",3e+06,"1988","USD"
"SOS",NA,"1988",NA
"Sagolandet",NA,"1988",NA
"Salaam Bombay!",NA,"1988",NA
"Salome's Last Dance",NA,"1988",NA
"Salsa",NA,"1988",NA
"Satisfaction",NA,"1988",NA
"Savage Justice",NA,"1988",NA
"Scandal in a Small Town",NA,"1988",NA
"Scarecrows",425000,"1988","USD"
"Scavengers",NA,"1987",NA
"School Daze",6500000,"1988","USD"
"Crime and Punishment",NA,"2002",NA
"Ein Schweizer namens Nötzli",NA,"1988",NA
"Scrooged",3.2e+07,"1988","USD"
"Search and Destroy",NA,"1988",NA
"The Serpent and the Rainbow",7e+06,"1988","USD"
"Seven Hours to Judgment",NA,"1988",NA
"The Seventh Sign",NA,"1988",NA
"Sexpot",NA,"1990",NA
"Shadow Dancing",NA,"1988",NA
"The Shadowed Mind",NA,"1988",NA
"Shakedown",6e+06,"1988","USD"
"She's Having a Baby",NA,"1988",NA
"Shoot to Kill",NA,"1988",NA
"Short Circuit 2",NA,"1988",NA
"Silent Assassins",NA,"1988",NA
"Sinatra",NA,"1988",NA
"The Sisterhood",NA,"1988",NA
"Slaughterhouse Rock",2e+06,"1988","USD"
"Sleepaway Camp II: Unhappy Campers",NA,"1988",NA
"Sleepaway Camp III: Teenage Wasteland",NA,"1989",NA
"A Soldier's Tale",NA,"1989",NA
"Sorority Babes in the Slimeball Bowl-O-Rama",90000,"1988","USD"
"South of Reno",NA,"1988",NA
"Space Mutiny",NA,"1988",NA
"Spellbinder",NA,"1988",NA
"Spellcaster",NA,"1988",NA
"Spies Inc.",NA,"1992",NA
"Spike of Bensonhurst",NA,"1988",NA
"Splendor",NA,"1989",NA
"Split Decisions",NA,"1988",NA
"Spoorloos",NA,"1988",NA
"Stars and Bars",NA,"1988",NA
"Stealing Home",NA,"1988",NA
"Sticky Fingers",NA,"1988",NA
"Still Life",NA,"1990",NA
"Stones for Ibarra",NA,"1988",NA
"Stormy Monday",NA,"1988",NA
"Stranger on My Land",NA,"1988",NA
"Strul",NA,"1988",NA
"The Suitors",250000,"1988","USD"
"A Summer Story",NA,"1988",NA
"Summertime Blues: Lemon Popsicle VIII",NA,"1988",NA
"Sunset",1.9e+07,"1988","USD"
"Super Xuxa Contra o Baixo Astral",NA,"1988",NA
"Sweet Hearts Dance",NA,"1988",NA
"Sweet Lies",NA,"1987",NA
"Switching Channels",1.8e+07,"1988","USD"
"Taffin",NA,"1988",NA
"Tainted",NA,"1987",NA
"Take Two",NA,"1988",NA
"Tales from the Gimli Hospital",25000,"1988","USD"
"Talk Radio",4e+06,"1988","USD"
"Tapeheads",NA,"1988",NA
"Taxi Killer",NA,"1988",NA
"Dak ging to lung",NA,"1988",NA
"Tears in the Rain",NA,"1988",NA
"The Telephone",NA,"1988",NA
"Tequila Sunrise",2.3e+07,"1988","USD"
"The Terror Within",NA,"1989",NA
"Testimony",NA,"1988",NA
"Tetsuo",NA,"1989",NA
"They Live",4e+06,"1988","USD"
"The Thin Blue Line",NA,"1988",NA
"Things Change",NA,"1988",NA
"Thrilled to Death",NA,"1988",NA
"Tiger Warsaw",NA,"1988",NA
"A Time of Destiny",8500000,"1988","USD"
"""Les tisserands du pouvoir""",NA,"1988",NA
"To Kill a Priest",NA,"1988",NA
"Tokyo Pop",NA,"1988",NA
"Tommy Tricker and the Stamp Traveller",NA,"1988",NA
"Tonari no Totoro",3700000,"1988","USD"
"Torch Song Trilogy",NA,"1988",NA
"Tougher Than Leather",NA,"1988",NA
"Track 29",5e+06,"1988","USD"
"The Tracker",4800000,"1988","USD"
"Tragediya v stile rok",NA,"1990",NA
"Traxx",6500000,"1988","USD"
"Trois places pour le 26",NA,"1988",NA
"Troma's War",3e+06,"1988","USD"
"Três Menos Eu",NA,"1988",NA
"Tucker: The Man and His Dream",2.3e+07,"1988","USD"
"Twice Dead",NA,"1988",NA
"Twins",1.5e+07,"1988","USD"
"Twister",NA,"1989",NA
"Two Moon Junction",NA,"1988",NA
"Two to Tango",NA,"1988",NA
"Técnicas de duelo: Una cuestión de honor",NA,"1988",NA
"U2: Rattle and Hum",NA,"1988",NA
"The Unbearable Lightness of Being",1.7e+07,"1988","USD"
"Une affaire de femmes",NA,"1988",NA
"Unholy Matrimony",NA,"1988",NA
"The Unholy",NA,"1988",NA
"Uninvited",NA,"1988",NA
"The Unnamable",350000,"1988","USD"
"Up Your Alley",NA,"1989",NA
"Vampire at Midnight",NA,"1988",NA
"Vargens tid",NA,"1988",NA
"Die Venusfalle",NA,"1988",NA
"Vibes",1.8e+07,"1988","USD"
"Vice Versa",NA,"1988",NA
"La vie est un long fleuve tranquille",NA,"1988",NA
"Viper",NA,"1988",NA
"The Virgin Queen of St. Francis High",750000,"1987","USD"
"Voyage of the Rock Aliens",NA,"1984",NA
"Vreme na nasilie",NA,"1988",NA
"Vy chyo, starichyo?",6500000,"1988","USD"
"Walker",5800000,"1987","USD"
"Wallers letzter Gang",1280000,"1989","DEM"
"War Requiem",NA,"1989",NA
"Warbirds",NA,"1989",NA
"Warlords",NA,"1988",NA
"Warm Nights on a Slow Moving Train",NA,"1988",NA
"Watchers",NA,"1988",NA
"Waxwork",NA,"1988",NA
"White Ghost",NA,"1988",NA
"Whiteforce",NA,"1988",NA
"Who Framed Roger Rabbit",7e+07,"1988","USD"
"Wie kommt das Salz ins Meer?",NA,"1988",NA
"Wildfire",NA,"1988",NA
"Willow",3.5e+07,"1988","USD"
"La casa 4 (Witchcraft)",NA,"1988",NA
"Without a Clue",NA,"1988",NA
"The Wizard of Loneliness",NA,"1988",NA
"Wang Jiao ka men",NA,"1988",NA
"Woodchipper Massacre",400,"1988","USD"
"Working Girl",2.8e+07,"1988","USD"
"A World Apart",NA,"1988",NA
"World Gone Wild",NA,"1987",NA
"The Wrong Guys",NA,"1988",NA
"Yasemin",NA,"1988",NA
"You Can't Hurry Love",NA,"1988",NA
"Young Einstein",NA,"1988",NA
"Young Guns",1.3e+07,"1988","USD"
"Il giovane Toscanini",1.4e+07,"1988","USD"
"Zabytaya melodiya dlya fleyty",NA,"1987",NA
"Zhan long",NA,"1988",NA
"Zui jia zei pai dang",NA,"1990",NA
"Zärtliche Chaoten II",NA,"1988",NA
"À gauche en sortant de l'ascenseur",NA,"1988",NA
"Århus by night",NA,"1989",NA
"Étoile",NA,"1989",NA
"""The New Adam-12""",250000,"1989","USD"
"""Around the World in 80 Days""",NA,"1989",NA
"""Baywatch""",1500000,"1989","USD"
"""Captain N: The Game Master""",NA,"1989",NA
"""Chip 'n' Dale Rescue Rangers""",NA,"1989",NA
"""Coach""",1500000,"1989","USD"
"""Dragnet""",250000,"1989","USD"
"""Fabrik der Offiziere""",NA,"1989",NA
"""The Famous Teddy Z""",NA,"1989",NA
"Foreign Nights",NA,"1989",NA
"""Grim Pickings""",NA,"1989",NA
"""Hardball""",NA,"1989",NA
"""Hey Dude""",NA,"1989",NA
"""Living Dolls""",NA,"1989",NA
"""Mr. Bean""",NA,"1990",NA
"""The Nightmare Years""",9e+06,"1989","USD"
"""Philip Marlowe, Private Eye""",NA,"1983",NA
"""Saved by the Bell""",NA,"1989",NA
"""The Simpsons""",750000,"1989","USD"
"""The Super Mario Bros. Super Show!""",NA,"1989",NA
"""War and Remembrance""",NA,"1988",NA
"The 'Burbs",NA,"1989",NA
"100 Jahre Adolf Hitler - Die letzte Stunde im Führerbunker",NA,"1989",NA
"1939",3e+07,"1989","SEK"
"3615 code Père Noël",NA,"1989",NA
"84C MoPic",NA,"1989",NA
"The Abyss",7e+07,"1989","USD"
"Torrents of Spring",NA,"1989",NA
"Action U.S.A.",NA,"1989",NA
"The Adventures of Baron Munchausen",46630000,"1988","USD"
"After Midnight",3e+06,"1989","USD"
"After School",NA,"1988",NA
"Alien Seed",NA,"1989",NA
"Alienator",NA,"1990",NA
"All Dogs Go to Heaven",13800000,"1989","USD"
"Always",3.1e+07,"1989","USD"
"American Blue Note",NA,"1989",NA
"American Eagle",NA,"1989",NA
"American Ninja 3: Blood Hunt",NA,"1989",NA
"American risciò",NA,"1990",NA
"An le zhan chang",NA,"1989",NA
"And a Nightingale Sang",1800000,"1989","GBP"
"Animal Behavior",NA,"1989",NA
"Anni tahtoo äidin",NA,"1989",NA
"Another Chance",NA,"1989",NA
"Apoorva Sagodharargal",NA,"1989",NA
"Aquí huele a muerto... (¡pues yo no he sido!)",NA,"1990",NA
"Assault of the Party Nerds",NA,"1989",NA
"Astérix et le coup du menhir",NA,"1989",NA
"Atlantic Rhapsody - 52 myndir úr Tórshavn",NA,"1990",NA
"Auf dem Weg",NA,"1989",NA
"Australia",NA,"1989",NA
"Az én XX. századom",NA,"1989",NA
"Babar: The Movie",NA,"1989",NA
"Going Overboard",2e+05,"1989","USD"
"Baby Blood",1e+06,"1990","FRF"
"Back to the Future Part II",4e+07,"1989","USD"
"Catchfire",NA,"1990",NA
"Bad Blood",NA,"1989",NA
"La bahía esmeralda",NA,"1989",NA
"Ballbuster",NA,"1989",NA
"Ban wo chuang tian ya",NA,"1989",NA
"The Banker",NA,"1989",NA
"Batman",3.5e+07,"1989","USD"
"Beim nächsten Mann wird alles anders",NA,"1989",NA
"Bert Rigby, You're a Fool",NA,"1989",NA
"Best of the Best",5e+06,"1989","USD"
"Beverly Hills Bodysnatchers",NA,"1989",NA
"Beverly Hills Brats",NA,"1989",NA
"Beyond the Door III",NA,"1989",NA
"Beyond the Stars",NA,"1989",NA
"Big Man on Campus",NA,"1989",NA
"The Big Picture",5e+06,"1989","USD"
"Big Time",NA,"1989",NA
"Bill & Ted's Excellent Adventure",1e+07,"1989","USD"
"Il gatto nero",NA,"1989",NA
"Black Rain",3e+07,"1989","USD"
"Blaze",NA,"1989",NA
"Blind Fear",NA,"1989",NA
"Blind Fury",1e+07,"1989","USD"
"Blood Nasty",NA,"1989",NA
"Blood Red",NA,"1989",NA
"Bloodfist",NA,"1989",NA
"Bloodhounds of Broadway",4e+06,"1989","USD"
"Bloodmoon",NA,"1990",NA
"Les bois noirs",NA,"1989",NA
"Boris Godounov",NA,"1989",NA
"Born on the Fourth of July",1.4e+07,"1989","USD"
"Breaking In",6e+06,"1989","USD"
"Brenda Starr",1.6e+07,"1989","USD"
"Bridesmaids",NA,"1989",NA
"Brodyachiy avtobus",1e+07,"1990","USD"
"Brothers in Arms",NA,"1988",NA
"Bruce Springsteen: Video Anthology 1978-1988",NA,"1989",NA
"Brutal Glory",NA,"1989",NA
"Burndown",NA,"1990",NA
"Buy & Cell",NA,"1987",NA
"Bye Bye Blues",NA,"1989",NA
"Bye bye chaperon rouge",NA,"1989",NA
"C.H.U.D. II: Bud the Chud",NA,"1989",NA
"Cage",NA,"1989",NA
"The Caller",NA,"1987",NA
"Cameron's Closet",7e+06,"1988","USD"
"Candy Regentag",NA,"1989",NA
"Miss Marple: A Caribbean Mystery",NA,"1989",NA
"Casualties of War",22500000,"1989","USD"
"Cat Chaser",NA,"1989",NA
"Catch Me If You Can",8e+05,"1989","USD"
"Cemetery High",NA,"1988",NA
"The Chair",3e+06,"1988","USD"
"Chances Are",1.6e+07,"1989","USD"
"Charles Manson Superstar",NA,"1989",NA
"Koneko monogatari",NA,"1986",NA
"Checking Out",NA,"1989",NA
"Cheetah",5e+06,"1989","USD"
"The Chilling",NA,"1989",NA
"Cleo/Leo",NA,"1989",NA
"Code Name Vengeance",NA,"1987",NA
"Cohen and Tate",NA,"1988",NA
"Cold Comfort",NA,"1989",NA
"Cold Feet",NA,"1989",NA
"Cold Front",NA,"1989",NA
"Collision Course",1.3e+07,"1989","USD"
"""Columbo""",NA,"1971",NA
"""Columbo""",NA,"1971",NA
"""Columbo""",NA,"1971",NA
"""Columbo""",NA,"1971",NA
"""Columbo""",NA,"1971",NA
"""Columbo""",NA,"1971",NA
"""Columbo""",NA,"1971",NA
"""Columbo""",NA,"1971",NA
"""Columbo""",NA,"1971",NA
"Coming Out",NA,"1989",NA
"Comment faire l'amour avec un nègre sans se fatiguer",NA,"1989",NA
"Communion",5e+06,"1989","USD"
"Comédie d'amour",NA,"1989",NA
"Conte de printemps",NA,"1990",NA
"The Cook, the Thief, His Wife & Her Lover",NA,"1989",NA
"Cookie",NA,"1989",NA
"Courage Mountain",NA,"1990",NA
"Cousins",1.3e+07,"1989","USD"
"Crack House",NA,"1989",NA
"Le crime d'Antoine",NA,"1989",NA
"Um Crime de Luxo",NA,"1991",NA
"Crimes and Misdemeanors",1.9e+07,"1989","USD"
"Criminal Law",NA,"1988",NA
"Cruising Bar",NA,"1989",NA
"Cutting Class",NA,"1989",NA
"Cyborg",5e+05,"1989","USD"
"Dad",1.9e+07,"1989","USD"
"Damned River",5e+06,"1989","USD"
"Dans le ventre du dragon",NA,"1989",NA
"La danse du scorpion",NA,"1989",NA
"Dark Holiday",NA,"1989",NA
"Diamond Skulls",NA,"1989",NA
"Dead Calm",NA,"1989",NA
"Dead Man Out",NA,"1989",NA
"Dead Poets Society",16400000,"1989","USD"
"Dead Bang",NA,"1989",NA
"Deadly Embrace",NA,"1989",NA
"Deadly Reactor",NA,"1989",NA
"Deadly Spygames",NA,"1989",NA
"Deadly Weapon",NA,"1989",NA
"Deathstalker and the Warriors from Hell",NA,"1988",NA
"Deceit",25000,"1992","USD"
"DeepStar Six",NA,"1989",NA
"Pink Floyd: Delicate Sound of Thunder",NA,"1989",NA
"The Delinquents",NA,"1989",NA
"Demonstone",NA,"1990",NA
"Les deux Fragonard",NA,"1989",NA
"Devil in the Flesh",NA,"1989",NA
"Dick Francis: Twice Shy",NA,"1989",NA
"Dip huet seung hung",NA,"1989",NA
"Dirty Games",NA,"1989",NA
"Disorganized Crime",NA,"1989",NA
"Do the Right Thing",6500000,"1989","USD"
"Dom za vesanje",NA,"1988",NA
"Domino",NA,"1988",NA
"Double Your Pleasure",NA,"1989",NA
"The Dream Team",1.5e+07,"1989","USD"
"Dream a Little Dream",NA,"1989",NA
"Driving Miss Daisy",7500000,"1989","USD"
"Drugstore Cowboy",2500000,"1989","USD"
"A Dry White Season",NA,"1989",NA
"Dou san",NA,"1989",NA
"""Polizeiruf 110""",NA,"1971",NA
"Le déclic",NA,"1985",NA
"Earth Girls Are Easy",1e+07,"1988","USD"
"Easy Kill",NA,"1989",NA
"Easy Wheels",NA,"1989",NA
"Eat a Bowl of Tea",NA,"1989",NA
"Eddie and the Cruisers II: Eddie Lives!",NA,"1989",NA
"Edge of Sanity",NA,"1989",NA
"Ehad Mishelanu",5e+05,"1989","USD"
"Elephant",NA,"1989",NA
"Enemies: A Love Story",NA,"1989",NA
"Enemy Unseen",NA,"1989",NA
"Enrapture",NA,"1989",NA
"Erik the Viking",NA,"1989",NA
"Es ist nicht leicht ein Gott zu sein",NA,"1989",NA
"Et la lumière fut",NA,"1989",NA
"Eternity",NA,"1990",NA
"Everybody's Baby: The Rescue of Jessica McClure",NA,"1989",NA
"Evil Altar",NA,"1988",NA
"The Evil Below",NA,"1989",NA
"Il bosco 1",5e+05,"1988","ITL"
"The Experts",NA,"1989",NA
"Eye of the Widow",NA,"1991",NA
"The Fabulous Baker Boys",1.3e+07,"1989","USD"
"Family Business",NA,"1989",NA
"Far from Home",NA,"1989",NA
"Farewell to the King",2e+07,"1989","USD"
"Fast Food",NA,"1989",NA
"Fat Man and Little Boy",NA,"1989",NA
"Fatal Bet",8750000,"1989","HKD"
"Father",NA,"1990",NA
"The Favorite",NA,"1989",NA
"Field of Dreams",NA,"1989",NA
"La fille de 15 ans",NA,"1989",NA
"Final Notice",3e+06,"1989","USD"
"Flesh-Eating Mothers",NA,"1988",NA
"Flesh Gordon Meets the Cosmic Cheerleaders",1500000,"1990","USD"
"Fletch Lives",8e+06,"1989","USD"
"The Fly II",NA,"1989",NA
"Food of the Gods II",3500000,"1989","USD"
"For All Mankind",NA,"1989",NA
"For Queen & Country",NA,"1988",NA
"Forbidden Sun",NA,"1989",NA
"Forced March",2700000,"1989","USD"
"Fortress of Amerikkka",NA,"1989",NA
"Francesco",2.2e+07,"1989","DEM"
"Friday the 13th Part VIII: Jason Takes Manhattan",5e+06,"1989","USD"
"Friends, Lovers, & Lunatics",NA,"1989",NA
"Fright Night Part 2",7500000,"1988","USD"
"Future Hunters",NA,"1986",NA
"La fête des pères",NA,"1990",NA
"Geld",NA,"1989",NA
"Georg Elser - Einer aus Deutschland",NA,"1989",NA
"George's Island",NA,"1989",NA
"Getting It Right",NA,"1989",NA
"Ghetto Blaster",NA,"1989",NA
"Ghost Writer",NA,"1989",NA
"Ghostbusters II",3.7e+07,"1989","USD"
"Ghoulies III: Ghoulies Go to College",NA,"1991",NA
"The Girl in a Swing",NA,"1988",NA
"Gisèle Kérozène",NA,"1990",NA
"Gleaming the Cube",1e+07,"1989","USD"
"Glory",1.8e+07,"1989","USD"
"The Gods Must Be Crazy II",NA,"1989",NA
"Gojira vs. Biorante",5e+06,"1989","USD"
"Brown Bread Sandwiches",NA,"1989",NA
"Grandmother's House",NA,"1988",NA
"Grave Secrets",NA,"1989",NA
"Great Balls of Fire!",NA,"1989",NA
"Gross Anatomy",NA,"1989",NA
"Gui gou ren",NA,"1989",NA
"Hajen som visste för mycket",NA,"1989",NA
"Halloween 5",3e+06,"1989","USD"
"Happy Together",NA,"1989",NA
"Hardcase and Fist",NA,"1989",NA
"Harlem Nights",3e+07,"1989","USD"
"Hawks",NA,"1988",NA
"Heart of Dixie",NA,"1989",NA
"The Heat Is On",NA,"1989",NA
"Heathers",3e+06,"1988","USD"
"Escape from Hellhole",NA,"1983",NA
"Henry V",9e+06,"1989","USD"
"Her Alibi",NA,"1989",NA
"Hider in the House",NA,"1989",NA
"High Desert Kill",NA,"1989",NA
"The Hill Farm",18000,"1989","GBP"
"Hiver 54, l'abbé Pierre",NA,"1989",NA
"Hollywood Boulevard II",NA,"1990",NA
"The Hollywood Detective",NA,"1989",NA
"Homer and Eddie",NA,"1989",NA
"Honey, I Shrunk the Kids",1.8e+07,"1989","USD"
"Horizons sans fin",NA,"1953",NA
"The Horror Show",NA,"1989",NA
"Hot Times at Montclair High",NA,"1989",NA
"How I Got Into College",NA,"1989",NA
"How to Get Ahead in Advertising",NA,"1989",NA
"Howling V: The Rebirth",NA,"1989",NA
"Wong Ka Si Sei IV: Sik Gik Sing Yan",NA,"1989",NA
"Huo bao xing dong",NA,"1989",NA
"I, Madman",NA,"1989",NA
"Igla",NA,"1988",NA
"Ihmiselon ihanuus ja kurjuus",6221785,"1988","FIM"
"Ilha das Flores",NA,"1989",NA
"Im Jahr der Schildkröte",NA,"1988",NA
"Immediate Family",1.4e+07,"1989","USD"
"In Country",1.8e+07,"1989","USD"
"In the Cold of the Night",NA,"1990",NA
"In una notte di chiaro di luna",NA,"1989",NA
"Indiana Jones and the Last Crusade",4.8e+07,"1989","USD"
"An Innocent Man",NA,"1989",NA
"Insiders",2858917,"1989","FIM"
"Interdevochka",NA,"1989",NA
"The Iron Triangle",NA,"1989",NA
"Istanbul",1.1e+07,"1989","SEK"
"Jacknife",NA,"1989",NA
"The January Man",NA,"1989",NA
"The Jitters",475000,"1989","USD"
"Johnny Handsome",2e+07,"1989","USD"
"Journey to the Center of the Earth",NA,"1988",NA
"Judgement",NA,"1992",NA
"Jésus de Montréal",NA,"1989",NA
"Jönssonligan på Mallorca",NA,"1989",NA
"K-9",NA,"1989",NA
"The Karate Kid Part III",NA,"1989",NA
"The Karen Carpenter Story",NA,"1989",NA
"De kassière",NA,"1989",NA
"Kickboxer",1500000,"1989","USD"
"Kill Me Again",4e+06,"1989","USD"
"The Kill Reflex",NA,"1989",NA
"The Kill-Off",NA,"1989",NA
"Killer!",9000,"1989","USD"
"King of the Wind",NA,"1990",NA
"Kinjite: Forbidden Subjects",NA,"1989",NA
"Kokoda Crescent",NA,"1989",NA
"Kronvittnet",NA,"1989",NA
"Kuroi ame",NA,"1989",NA
"Kvinnorna på taket",NA,"1989",NA
"L.A. Bounty",3e+06,"1989","USD"
"L.A. Heat",175000,"1989","USD"
"L.A. Takedown",NA,"1989",NA
"Ladri di saponette",NA,"1989",NA
"Lady Avenger",NA,"1988",NA
"The Lady and the Highwayman",NA,"1989",NA
"Last Exit to Brooklyn",NA,"1989",NA
"Coastwatcher",NA,"1989",NA
"Lauderdale",NA,"1989",NA
"Laurin",NA,"1989",NA
"Lean on Me",1e+07,"1989","USD"
"Let It Ride",1.8e+07,"1989","USD"
"Lethal Weapon 2",2.8e+07,"1989","USD"
"Lethal Woman",NA,"1988",NA
"Leviathan",2.5e+07,"1989","USD"
"Licence to Kill",3.2e+07,"1989","USD"
"Lightning Over Braddock: A Rustbowl Fantasy",54000,"1988","USD"
"Limit Up",NA,"1989",NA
"Listen to Me",NA,"1989",NA
"The Little Mermaid",4e+07,"1989","USD"
"Little Monsters",20,"1989","ESP"
"Little White Lies",NA,"1989",NA
"Lobster Man from Mars",NA,"1989",NA
"The Local Stigmatic",NA,"1990",NA
"Lock Up",2.4e+07,"1989","USD"
"Lola",NA,"1989",NA
"Look Who's Talking",7500000,"1989","USD"
"Lost Angels",NA,"1989",NA
"Love and Hate: The Story of Colin and Joanne Thatcher",NA,"1989",NA
"Loverboy",NA,"1989",NA
"Mack the Knife",9e+06,"1989","USD"
"Magdalene",NA,"1988",NA
"""The Mahabharata""",NA,"1989",NA
"Majo no takkyûbin",8e+08,"1989","JPY"
"Major League",1.1e+07,"1989","USD"
"Malarek",NA,"1988",NA
"The Man in the Brown Suit",NA,"1989",NA
"Manifesto",NA,"1988",NA
"Masque of the Red Death",NA,"1989",NA
"¡Maten a Chinto!",NA,"1990",NA
"Meet the Feebles",750000,"1989","USD"
"Men in Love",350000,"1990","USD"
"Mes meilleurs copains",NA,"1989",NA
"Metamorphosis",6e+08,"1990","ITL"
"Meteo",NA,"1990",NA
"The Mighty Quinn",NA,"1989",NA
"Millennium",NA,"1989",NA
"Milou en mai",NA,"1990",NA
"Mind Games",NA,"1989",NA
"Mindfield",NA,"1989",NA
"Ministry of Vengeance",NA,"1989",NA
"Minnamurra",NA,"1989",NA
"Miracle Mile",3700000,"1988","USD"
"Miraklet i Valby",NA,"1989",NA
"Wilt",NA,"1990",NA
"Miss Firecracker",NA,"1989",NA
"Mob War",NA,"1989",NA
"Monsieur Hire",NA,"1989",NA
"Monster High",NA,"1989",NA
"Moon 44",7e+06,"1990","DEM"
"Moontrap",NA,"1989",NA
"Morir en el golfo",NA,"1990",NA
"Murder Blues",NA,"1991",NA
"Murder on the Moon",3500000,"1989","GBP"
"Mutant on the Bounty",NA,"1989",NA
"My Left Foot: The Story of Christy Brown",6e+05,"1989","GBP"
"My Mom's a Werewolf",750000,"1989","USD"
"Mystery Train",2800000,"1989","USD"
"National Lampoon's Christmas Vacation",2.7e+07,"1989","USD"
"New Year's Day",NA,"1989",NA
"New York Stories",1.5e+07,"1989","USD"
"Next",NA,"1990",NA
"Next of Kin",1.2e+07,"1989","USD"
"Night Game",NA,"1989",NA
"Night Life",2500000,"1989","USD"
"Night Shadow",NA,"1989",NA
"A Nightmare on Elm Street: The Dream Child",6e+06,"1989","USD"
"Nightwish",NA,"1989",NA
"""Screen One""",NA,"1985",NA
"No Holds Barred",8e+06,"1989","USD"
"No Retreat, No Surrender 2: Raging Thunder",NA,"1987",NA
"Nobody's Perfect",NA,"1990",NA
"Noce blanche",NA,"1989",NA
"Les noces de papier",NA,"1990",NA
"La noche oscura",NA,"1989",NA
"Not Quite Human II",NA,"1989",NA
"Qi ji",6.4e+07,"1989","HKD"
"Old Gringo",3.4e+07,"1989","USD"
"Ollie Hopnoodle's Haven of Bliss",NA,"1988",NA
"On the Make",120000,"1989","USD"
"One Man Force",NA,"1989",NA
"One Man Out",NA,"1989",NA
"Othello",NA,"1989",NA
"Otto - Der Außerfriesische",NA,"1989",NA
"Out Cold",NA,"1989",NA
"The Outside Woman",NA,"1989",NA
"The Package",1.8e+07,"1989","USD"
"Paganini",NA,"1989",NA
"Paint It Black",NA,"1989",NA
"Palombella rossa",NA,"1989",NA
"Pan Jin Lian zhi qian shi jin sheng",NA,"1989",NA
"Pan Samochodzik i praskie tajemnice",NA,"1989",NA
"Paperhouse",NA,"1988",NA
"Paprika",NA,"1991",NA
"Parent Trap III",NA,"1989",NA
"Parenthood",3.1e+07,"1989","USD"
"Parents",3e+06,"1989","USD"
"Party Girls",NA,"1990",NA
"Paura nel buio",NA,"1989",NA
"Penn & Teller Get Killed",NA,"1989",NA
"Perfect Profile",NA,"1989",NA
"Perry Mason: The Case of the All-Star Assassin",NA,"1989",NA
"Perry Mason: The Case of the Lethal Lesson",NA,"1989",NA
"Perry Mason: The Case of the Musical Murder",NA,"1989",NA
"Pet Sematary",11500000,"1989","USD"
"Peter och Petra",NA,"1989",NA
"La petite voleuse",NA,"1988",NA
"Phantom of the Mall: Eric's Revenge",3e+06,"1989","USD"
"The Phantom of the Opera",NA,"1989",NA
"The Phone Call",NA,"1989",NA
"Physical Evidence",1.7e+07,"1989","USD"
"Piano panier ou La recherche de l'équateur",NA,"1989",NA
"Pink Cadillac",1.9e+07,"1989","USD"
"The Platinum Triangle",NA,"1990",NA
"Playboy Playmates of the Year: The 80's",NA,"1989",NA
"Police Academy 6: City Under Siege",1.2e+07,"1989","USD"
"Portion d'éternité",NA,"1988",NA
"Powwow Highway",NA,"1989",NA
"Prancer",NA,"1989",NA
"Love Dream",NA,"1988",NA
"Primary Target",NA,"1990",NA
"Prime Target",NA,"1989",NA
"Prisoners of Inertia",NA,"1989",NA
"Prom Night III: The Last Kiss",NA,"1990",NA
"The Punisher",9e+06,"1989","USD"
"Puppetmaster",NA,"1989",NA
"Qin yong",NA,"1989",NA
"Queen of Hearts",NA,"1989",NA
"Quicker Than the Eye",NA,"1988",NA
"Qun long xi feng",NA,"1989",NA
"Les mémés cannibales",NA,"1988",NA
"Race for Glory",NA,"1989",NA
"The Rachel Papers",NA,"1989",NA
"Rain",26000,"1989","USD"
"The Rainbow",NA,"1989",NA
"The Ranch",850000,"1989","CAD"
"Reason to Die",NA,"1990",NA
"Red Scorpion",1.6e+07,"1988","USD"
"Relentless",NA,"1989",NA
"Religion, Inc.",6e+06,"1989","USD"
"Renegades",NA,"1989",NA
"Resan till Melonia",2.2e+07,"1989","SEK"
